matchId,date,homeTeam,awayTeam,city,country,venue,temperatureMaxC,temperatureMinC,precipitationMm,windMaxKmh,source,sourceUrl,fetchedAt
2026-WC-GS-001,2026-06-11,Mexico,South Africa,Mexico City,Mexico,Estadio Azteca,23,14.8,13.7,4.9,Open-Meteo forecast API,"https://api.open-meteo.com/v1/forecast?latitude=19.3029&longitude=-99.1505&daily=temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max&timezone=auto&start_date=2026-06-11&end_date=2026-06-11",2026-06-11T06:03:27.241Z
2026-WC-GS-002,2026-06-11,South Korea,Czech Republic,Guadalajara,Mexico,Guadalajara Stadium,25.9,16.8,2.6,7.2,Open-Meteo forecast API,"https://api.open-meteo.com/v1/forecast?latitude=20.6817&longitude=-103.4626&daily=temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max&timezone=auto&start_date=2026-06-11&end_date=2026-06-11",2026-06-11T06:03:27.241Z
2026-WC-GS-003,2026-06-12,Canada,Bosnia and Herzegovina,Toronto,Canada,BMO Field,26.9,17.1,0,21,Open-Meteo forecast API,"https://api.open-meteo.com/v1/forecast?latitude=43.6327&longitude=-79.4186&daily=temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max&timezone=auto&start_date=2026-06-12&end_date=2026-06-12",2026-06-11T06:03:27.241Z
2026-WC-GS-004,2026-06-12,United States,Paraguay,Los Angeles,United States,Los Angeles Stadium,24.8,15.4,0,21.6,Open-Meteo forecast API,"https://api.open-meteo.com/v1/forecast?latitude=33.9535&longitude=-118.3392&daily=temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max&timezone=auto&start_date=2026-06-12&end_date=2026-06-12",2026-06-11T06:03:27.241Z
2026-WC-GS-005,2026-06-13,Qatar,Switzerland,San Francisco Bay Area,United States,San Francisco Bay Area Stadium,25.5,11.8,0,20,Open-Meteo forecast API,"https://api.open-meteo.com/v1/forecast?latitude=37.403&longitude=-121.97&daily=temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max&timezone=auto&start_date=2026-06-13&end_date=2026-06-13",2026-06-13T02:12:35.027Z
2026-WC-GS-006,2026-06-13,Brazil,Morocco,New York New Jersey,United States,New York New Jersey Stadium,32.3,18.9,0,15.5,Open-Meteo forecast API,"https://api.open-meteo.com/v1/forecast?latitude=40.8135&longitude=-74.0745&daily=temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max&timezone=auto&start_date=2026-06-13&end_date=2026-06-13",2026-06-13T02:12:35.027Z
2026-WC-GS-007,2026-06-13,Haiti,Scotland,Boston,United States,Boston Stadium,30.1,19.7,0,18.4,Open-Meteo forecast API,"https://api.open-meteo.com/v1/forecast?latitude=42.0909&longitude=-71.2643&daily=temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max&timezone=auto&start_date=2026-06-13&end_date=2026-06-13",2026-06-13T02:12:35.027Z
2026-WC-GS-008,2026-06-13,Australia,Turkey,Vancouver,Canada,BC Place,25.8,13.4,0,17.4,Open-Meteo forecast API,"https://api.open-meteo.com/v1/forecast?latitude=49.2767&longitude=-123.1119&daily=temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max&timezone=auto&start_date=2026-06-13&end_date=2026-06-13",2026-06-13T02:12:35.027Z
2026-WC-GS-009,2026-06-14,Germany,Curaçao,Houston,United States,NRG Stadium,33.1,25.9,0,22,Open-Meteo forecast API,"https://api.open-meteo.com/v1/forecast?latitude=29.6847&longitude=-95.4107&daily=temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max&timezone=auto&start_date=2026-06-14&end_date=2026-06-14",2026-06-13T02:12:35.027Z
2026-WC-GS-010,2026-06-14,Ivory Coast,Ecuador,Philadelphia,United States,Lincoln Financial Field,33.9,19.2,25.93,23,Open-Meteo forecast API,"https://api.open-meteo.com/v1/forecast?latitude=39.9008&longitude=-75.1675&daily=temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max&timezone=auto&start_date=2026-06-14&end_date=2026-06-14",2026-06-13T02:12:35.027Z
2026-WC-GS-011,2026-06-14,Netherlands,Japan,Dallas,United States,Dallas Stadium,32.7,24.9,4.38,20.6,Open-Meteo forecast API,"https://api.open-meteo.com/v1/forecast?latitude=32.7473&longitude=-97.0945&daily=temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max&timezone=auto&start_date=2026-06-14&end_date=2026-06-14",2026-06-13T02:12:35.027Z
