team,squadRating,ratingSource,ratingSourceUrl,updatedAt,status,notes
Algeria,,,,,missing,Fill only from verified EA FC/SoFIFA-style squad snapshot; leave blank to downgrade.
Argentina,,,,,missing,Fill only from verified EA FC/SoFIFA-style squad snapshot; leave blank to downgrade.
Australia,,,,,missing,Fill only from verified EA FC/SoFIFA-style squad snapshot; leave blank to downgrade.
Austria,,,,,missing,Fill only from verified EA FC/SoFIFA-style squad snapshot; leave blank to downgrade.
Belgium,,,,,missing,Fill only from verified EA FC/SoFIFA-style squad snapshot; leave blank to downgrade.
Bosnia and Herzegovina,,,,,missing,Fill only from verified EA FC/SoFIFA-style squad snapshot; leave blank to downgrade.
Brazil,,,,,missing,Fill only from verified EA FC/SoFIFA-style squad snapshot; leave blank to downgrade.
Canada,,,,,missing,Fill only from verified EA FC/SoFIFA-style squad snapshot; leave blank to downgrade.
Cape Verde,,,,,missing,Fill only from verified EA FC/SoFIFA-style squad snapshot; leave blank to downgrade.
Colombia,,,,,missing,Fill only from verified EA FC/SoFIFA-style squad snapshot; leave blank to downgrade.
Croatia,,,,,missing,Fill only from verified EA FC/SoFIFA-style squad snapshot; leave blank to downgrade.
Curaçao,,,,,missing,Fill only from verified EA FC/SoFIFA-style squad snapshot; leave blank to downgrade.
Czech Republic,,,,,missing,Fill only from verified EA FC/SoFIFA-style squad snapshot; leave blank to downgrade.
DR Congo,,,,,missing,Fill only from verified EA FC/SoFIFA-style squad snapshot; leave blank to downgrade.
Ecuador,,,,,missing,Fill only from verified EA FC/SoFIFA-style squad snapshot; leave blank to downgrade.
Egypt,,,,,missing,Fill only from verified EA FC/SoFIFA-style squad snapshot; leave blank to downgrade.
England,,,,,missing,Fill only from verified EA FC/SoFIFA-style squad snapshot; leave blank to downgrade.
France,,,,,missing,Fill only from verified EA FC/SoFIFA-style squad snapshot; leave blank to downgrade.
Germany,,,,,missing,Fill only from verified EA FC/SoFIFA-style squad snapshot; leave blank to downgrade.
Ghana,,,,,missing,Fill only from verified EA FC/SoFIFA-style squad snapshot; leave blank to downgrade.
Haiti,,,,,missing,Fill only from verified EA FC/SoFIFA-style squad snapshot; leave blank to downgrade.
Iran,,,,,missing,Fill only from verified EA FC/SoFIFA-style squad snapshot; leave blank to downgrade.
Iraq,,,,,missing,Fill only from verified EA FC/SoFIFA-style squad snapshot; leave blank to downgrade.
Ivory Coast,,,,,missing,Fill only from verified EA FC/SoFIFA-style squad snapshot; leave blank to downgrade.
Japan,,,,,missing,Fill only from verified EA FC/SoFIFA-style squad snapshot; leave blank to downgrade.
Jordan,,,,,missing,Fill only from verified EA FC/SoFIFA-style squad snapshot; leave blank to downgrade.
Mexico,,,,,missing,Fill only from verified EA FC/SoFIFA-style squad snapshot; leave blank to downgrade.
Morocco,,,,,missing,Fill only from verified EA FC/SoFIFA-style squad snapshot; leave blank to downgrade.
Netherlands,,,,,missing,Fill only from verified EA FC/SoFIFA-style squad snapshot; leave blank to downgrade.
New Zealand,,,,,missing,Fill only from verified EA FC/SoFIFA-style squad snapshot; leave blank to downgrade.
Norway,,,,,missing,Fill only from verified EA FC/SoFIFA-style squad snapshot; leave blank to downgrade.
Panama,,,,,missing,Fill only from verified EA FC/SoFIFA-style squad snapshot; leave blank to downgrade.
Paraguay,,,,,missing,Fill only from verified EA FC/SoFIFA-style squad snapshot; leave blank to downgrade.
Portugal,,,,,missing,Fill only from verified EA FC/SoFIFA-style squad snapshot; leave blank to downgrade.
Qatar,,,,,missing,Fill only from verified EA FC/SoFIFA-style squad snapshot; leave blank to downgrade.
Saudi Arabia,,,,,missing,Fill only from verified EA FC/SoFIFA-style squad snapshot; leave blank to downgrade.
Scotland,,,,,missing,Fill only from verified EA FC/SoFIFA-style squad snapshot; leave blank to downgrade.
Senegal,,,,,missing,Fill only from verified EA FC/SoFIFA-style squad snapshot; leave blank to downgrade.
South Africa,,,,,missing,Fill only from verified EA FC/SoFIFA-style squad snapshot; leave blank to downgrade.
South Korea,,,,,missing,Fill only from verified EA FC/SoFIFA-style squad snapshot; leave blank to downgrade.
Spain,,,,,missing,Fill only from verified EA FC/SoFIFA-style squad snapshot; leave blank to downgrade.
Sweden,,,,,missing,Fill only from verified EA FC/SoFIFA-style squad snapshot; leave blank to downgrade.
Switzerland,,,,,missing,Fill only from verified EA FC/SoFIFA-style squad snapshot; leave blank to downgrade.
Tunisia,,,,,missing,Fill only from verified EA FC/SoFIFA-style squad snapshot; leave blank to downgrade.
Turkey,,,,,missing,Fill only from verified EA FC/SoFIFA-style squad snapshot; leave blank to downgrade.
United States,,,,,missing,Fill only from verified EA FC/SoFIFA-style squad snapshot; leave blank to downgrade.
Uruguay,,,,,missing,Fill only from verified EA FC/SoFIFA-style squad snapshot; leave blank to downgrade.
Uzbekistan,,,,,missing,Fill only from verified EA FC/SoFIFA-style squad snapshot; leave blank to downgrade.
