team,marketValueStatus,marketValueEur,marketValueSourceUrl,transfermarktTeamUrl,squadRatingStatus,squadRatingSource,fallbackRule
Algeria,updated,227750000,https://github.com/dcaribou/transfermarkt-datasets,https://www.transfermarkt.co.uk/algeria/startseite/verein/3614,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,
Argentina,updated,761200012,https://github.com/dcaribou/transfermarkt-datasets,https://www.transfermarkt.co.uk/argentina/startseite/verein/3437,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,
Australia,updated,51230000,https://github.com/dcaribou/transfermarkt-datasets,https://www.transfermarkt.co.uk/australia/startseite/verein/3433,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,
Austria,updated,263399994,https://github.com/dcaribou/transfermarkt-datasets,https://www.transfermarkt.co.uk/austria/startseite/verein/3383,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,
Belgium,updated,534200012,https://github.com/dcaribou/transfermarkt-datasets,https://www.transfermarkt.co.uk/belgium/startseite/verein/3382,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,
Bosnia and Herzegovina,updated,125599998,https://github.com/dcaribou/transfermarkt-datasets,https://www.transfermarkt.co.uk/bosnia-herzegovina/startseite/verein/3446,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,
Brazil,updated,778500000,https://github.com/dcaribou/transfermarkt-datasets,https://www.transfermarkt.co.uk/brazil/startseite/verein/3439,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,
Canada,updated,129380005,https://github.com/dcaribou/transfermarkt-datasets,https://www.transfermarkt.co.uk/canada/startseite/verein/3510,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,
Cape Verde,missing,,,,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,market value excluded
Colombia,updated,300500000,https://github.com/dcaribou/transfermarkt-datasets,https://www.transfermarkt.co.uk/colombia/startseite/verein/3816,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,
Croatia,updated,283299988,https://github.com/dcaribou/transfermarkt-datasets,https://www.transfermarkt.co.uk/croatia/startseite/verein/3556,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,
Curaçao,missing,,,,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,market value excluded
Czech Republic,updated,171500000,https://github.com/dcaribou/transfermarkt-datasets,https://www.transfermarkt.co.uk/czech-republic/startseite/verein/3445,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,
DR Congo,missing,,,,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,market value excluded
