team,matches,winRate,drawRate,lossRate,goalsForPerMatch,goalsAgainstPerMatch,goalDiffPerMatch,neutralShare,homeLikeWinRate
Isle of Man,13,0.6923,0,0.3077,3.8462,1.3077,2.5385,0.9231,
Jersey,18,0.7778,0.1111,0.1111,2.8333,0.7222,2.1111,0.6111,1
Padania,11,0.5455,0.1818,0.2727,2.8182,0.9091,1.9091,0.9091,
Spain,102,0.6275,0.2843,0.0882,2.3922,0.8039,1.5882,0.2353,0.7143
Japan,108,0.6481,0.1481,0.2037,2.3519,0.7963,1.5556,0.3704,0.6939
Panjab,9,0.3333,0.2222,0.4444,3.1111,1.5556,1.5556,0.7778,
England,106,0.6415,0.1887,0.1698,2.217,0.6698,1.5472,0.2264,0.7037
Belgium,100,0.64,0.19,0.17,2.37,0.86,1.51,0.24,0.7561
Portugal,101,0.6139,0.2277,0.1584,2.2871,0.8218,1.4653,0.2079,0.7442
Ynys Môn,12,0.9167,0,0.0833,2.5,1.0833,1.4167,0.5,1
Argentina,101,0.6931,0.1881,0.1188,2.0396,0.6337,1.4059,0.495,0.8077
Iran,89,0.6629,0.1685,0.1685,2.0674,0.7079,1.3596,0.427,0.8462
Algeria,109,0.6514,0.2294,0.1193,2.1284,0.7706,1.3578,0.422,0.7436
Netherlands,95,0.5789,0.2526,0.1684,2.2947,0.9684,1.3263,0.1579,0.6957
Brazil,99,0.6263,0.2222,0.1515,1.9596,0.6465,1.3131,0.3535,0.7813
Morocco,113,0.6726,0.2212,0.1062,1.823,0.531,1.292,0.3982,0.7818
France,106,0.6604,0.2075,0.1321,2.1415,0.8679,1.2736,0.2925,0.6889
Abkhazia,11,0.5455,0.3636,0.0909,1.9091,0.6364,1.2727,0.9091,
Canada,91,0.5495,0.2198,0.2308,2.0659,0.8901,1.1758,0.4615,0.6667
Norway,81,0.5679,0.2222,0.2099,2.0864,0.9506,1.1358,0.0494,0.6279
Australia,80,0.5875,0.175,0.2375,1.8875,0.7625,1.125,0.4375,0.7143
Guernsey,14,0.5714,0.0714,0.3571,1.9286,0.8571,1.0714,0.2143,0.5
Senegal,107,0.6355,0.243,0.1215,1.7103,0.6449,1.0654,0.514,0.8462
Italy,95,0.5789,0.2421,0.1789,1.9579,0.9158,1.0421,0.1789,0.6136
New Caledonia,32,0.5,0.125,0.375,2.2188,1.1875,1.0313,0.5938,0.6667
Denmark,98,0.5408,0.2551,0.2041,1.8571,0.8265,1.0306,0.1531,0.75
